Age_Group,Percent,Number,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West
0-14,100,12633978,1188247,1151751,2071829,1098854,1342615,2464328,1165712,1249574,540140,360928
15 - 19,10.3,1298877,123672,124925,208230,106856,135168,261672,122395,123016,55642,37301
20 - 24,9.7,1222764,118795,103551,242272,93400,117053,251410,111687,112364,42298,29934
25 - 29,8.8,1106898,105358,89132,233743,83687,104052,223616,98350,105915,37173,25872
30 - 34,7,888508,81699,71654,181506,70269,84694,176968,78622,87399,32369,23328
35 - 39,5.9,744635,71694,64573,142896,60886,77474,149072,65767,64434,28630,19209
40 - 44,4.9,613730,57187,54183,110592,54991,67227,118043,53797,54198,26112,17400
45 - 49,3.8,485123,44364,45366,84599,47224,57866,93599,42195,35571,21153,13186
50 - 54,3.5,438498,38898,44150,71531,43529,54297,83838,37588,32470,19792,12405
55 - 59,2.1,265113,21772,26935,47050,28162,34491,51226,21902,15032,11389,7154
60 - 64,2,248799,19441,25467,36373,27703,30575,42441,19418,23140,14651,9590
65 - 69,1.2,157627,12388,17227,23705,18089,19920,28034,11782,11904,9255,5323
70 - 74,1.6,201818,14973,20598,21301,25206,26088,37018,18018,17615,13692,7309
75 - 79,0.9,116804,7797,11568,13221,15399,15532,19984,11618,8565,8096,5024
80+,0.8,96727,6983,10849,10223,12590,12803,16374,8656,9396,5135,3718
